t_seconds,gco2_per_kwh
0,778.7662295805308
3600,845.1354777881804
7200,885.4696395280437
10800,897.0200083329024
14400,878.9994456565928
18000,832.6360230651173
21600,761.0893311889064
25200,669.2351588428252
28800,563.3332160760622
32400,450.6005452769371
36000,338.71969166086274
39600,235.31515050992286
43200,147.43377041946934
46800,81.06452221181974
50400,40.73036047195643
54000,29.179991667097624
57600,47.20055434340719
61200,93.56397693488265
64800,165.11066881109332
68400,256.96484115717465
72000,362.866783923938
75600,475.5994547230631
79200,587.4803083391371
82800,690.8848494900769
86400,778.7662295805306
90000,845.1354777881804
93600,885.4696395280434
97200,897.0200083329024
100800,878.9994456565928
104400,832.6360230651173
108000,761.0893311889065
111600,669.2351588428254
115200,563.3332160760625
118800,450.60054527693666
122400,338.7196916608634
126000,235.31515050992274
129600,147.43377041946945
133200,81.06452221181979
136800,40.730360471956544
140400,29.179991667097624
144000,47.200554343407305
147600,93.56397693488236
151200,165.11066881109355
154800,256.96484115717465
158400,362.8667839239375
162000,475.5994547230634
165600,587.4803083391366
169200,690.8848494900773
172800,778.7662295805305
176400,845.1354777881802
180000,885.4696395280437
183600,897.0200083329025
187200,878.999445656593
190800,832.6360230651173
194400,761.0893311889065
198000,669.2351588428248
201600,563.3332160760626
205200,450.6005452769375
208800,338.7196916608628
212400,235.31515050992348
216000,147.4337704194695
219600,81.06452221181951
223200,40.7303604719566
226800,29.179991667097624
230400,47.20055434340702
234000,93.5639769348827
237600,165.11066881109406
241200,256.96484115717453
244800,362.8667839239366
248400,475.5994547230625
252000,587.4803083391372
255600,690.8848494900778
259200,778.7662295805305
262800,845.1354777881799
266400,885.4696395280434
270000,897.0200083329024
273600,878.999445656593
277200,832.6360230651173
280800,761.0893311889072
284400,669.2351588428255
288000,563.333216076062
291600,450.6005452769376
295200,338.7196916608643
298800,235.31515050992226
302400,147.43377041946962
306000,81.06452221181951
309600,40.7303604719566
313200,29.179991667097568
316800,47.200554343406964
320400,93.56397693488265
324000,165.11066881109394
327600,256.9648411571744
331200,362.8667839239365
334800,475.59945472306237
338400,587.4803083391371
342000,690.8848494900777
345600,778.7662295805304
349200,845.1354777881797
352800,885.4696395280434
356400,897.0200083329024
360000,878.9994456565926
363600,832.6360230651173
367200,761.0893311889072
370800,669.2351588428257
374400,563.3332160760635
378000,450.6005452769362
381600,338.71969166086296
385200,235.31515050992368
388800,147.43377041946962
392400,81.0645222118203
396000,40.73036047195626
399600,29.179991667097624
403200,47.200554343406964
406800,93.56397693488259
410400,165.11066881109275
414000,256.96484115717567
417600,362.86678392393793
421200,475.59945472306225
424800,587.480308339137
428400,690.8848494900764
432000,778.7662295805303
435600,845.1354777881804
439200,885.4696395280438
442800,897.0200083329025
446400,878.999445656593
450000,832.6360230651175
453600,761.0893311889063
457200,669.2351588428244
460800,563.3332160760607
464400,450.6005452769347
468000,338.7196916608631
471600,235.31515050992246
475200,147.43377041946871
478800,81.06452221181888
482400,40.73036047195592
486000,29.179991667097568
489600,47.20055434340736
493200,93.56397693488339
496800,165.1106688110949
500400,256.9648411571769
504000,362.8667839239378
507600,475.59945472306373
511200,587.4803083391384
514800,690.8848494900789
518400,778.7662295805324
522000,845.1354777881804
525600,885.4696395280437
529200,897.0200083329024
532800,878.9994456565922
536400,832.636023065116
540000,761.0893311889063
543600,669.2351588428245
547200,563.3332160760608
550800,450.6005452769379
554400,338.71969166086024
558000,235.31515050992257
561600,147.43377041946871
565200,81.06452221181894
568800,40.730360471956715
572400,29.17999166709768
576000,47.200554343407305
579600,93.56397693488168
583200,165.11066881109485
586800,256.96484115717686
590400,362.8667839239407
594000,475.5994547230636
597600,587.4803083391382
601200,690.8848494900788
604800,778.7662295805302
608400,845.1354777881804
612000,885.4696395280437
615600,897.0200083329025
619200,878.9994456565923
622800,832.636023065116
626400,761.0893311889041
630000,669.2351588428246
633600,563.3332160760608
637200,450.60054527693495
640800,338.7196916608633
644400,235.31515050992266
648000,147.43377041946883
651600,81.06452221182042
655200,40.730360471956715
658800,29.17999166709768
662400,47.200554343408214
666000,93.56397693488321
669600,165.11066881109474
673200,256.96484115717675
676800,362.86678392393765
680400,475.5994547230635
684000,587.4803083391382
687600,690.884849490076
691200,778.7662295805301
694800,845.1354777881803
698400,885.4696395280444
702000,897.0200083329024
705600,878.9994456565923
709200,832.636023065116
712800,761.0893311889065
716400,669.2351588428247
720000,563.333216076061
723600,450.60054527693813
727200,338.7196916608634
730800,235.31515050992274
734400,147.43377041946678
738000,81.06452221181905
741600,40.73036047195603
745200,29.17999166709768
748800,47.200554343407305
752400,93.56397693488316
756000,165.11066881109468
759600,256.96484115717396
763200,362.86678392393753
766800,475.5994547230634
770400,587.4803083391351
774000,690.8848494900785
777600,778.7662295805321
781200,845.1354777881818
784800,885.4696395280437
788400,897.0200083329024
792000,878.9994456565923
795600,832.6360230651177
799200,761.0893311889065
802800,669.2351588428248
806400,563.3332160760641
810000,450.60054527693825
813600,338.7196916608606
817200,235.31515050992022
820800,147.433770419469
824400,81.06452221181911
828000,40.73036047195603
831600,29.179991667097568
835200,47.20055434340725
838800,93.5639769348831
842400,165.11066881109235
846000,256.96484115717385
849600,362.86678392394043
853200,475.59945472306634
856800,587.480308339138
860400,690.8848494900785
864000,778.7662295805321
867600,845.1354777881802
871200,885.4696395280437
874800,897.0200083329025
878400,878.9994456565923
882000,832.6360230651178
885600,761.0893311889088
889200,669.2351588428248
892800,563.3332160760582
896400,450.6005452769353
900000,338.71969166086365
903600,235.3151505099203
907200,147.433770419469
